Date : 2025-02-13 09:21:26
Directory : /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage
Total : 191 files,  5015 codes, 58 comments, 808 blanks, all 5881 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentParagraph/SanityContentParagraph.tsx                | TypeScript JSX |         16 |          0 |          5 |         21 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentParagraph/index.ts                                  | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentPreview/SanityContentPreview.module.css             | CSS            |         66 |          0 |         13 |         79 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentPreview/SanityContentPreview.tsx                    | TypeScript JSX |         56 |          0 |          5 |         61 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentPreview/index.ts                                    | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentRTF.module.css                                      | CSS            |          0 |          0 |          1 |          1 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentRTF.tsx                                             | TypeScript JSX |         58 |          0 |          5 |         63 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentTitle/SanityContentTitle.module.css                 | CSS            |          3 |          0 |          1 |          4 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentTitle/SanityContentTitle.tsx                        | TypeScript JSX |         15 |          0 |          5 |         20 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentTitle/index.ts                                      | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentVerticalSpace/SanityContentVerticalSpace.module.css | CSS            |         14 |          0 |          4 |         18 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentVerticalSpace/SanityContentVerticalSpace.tsx        | TypeScript JSX |         19 |          0 |          5 |         24 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentVerticalSpace/index.ts                              | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentWidget/SanityContentWidget.module.css               | CSS            |          0 |          0 |          1 |          1 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentWidget/SanityContentWidget.tsx                      | TypeScript JSX |         53 |          0 |          4 |         57 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentWidget/index.ts                                     | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/index.ts                                                         | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Text/Text.module.css                                                              | CSS            |          7 |          0 |          2 |          9 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Text/Text.tsx                                                                     | TypeScript JSX |         18 |          0 |          5 |         23 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Text/index.ts                                                                     | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Title/Title.module.css                                                            | CSS            |         25 |          0 |          5 |         30 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Title/Title.tsx                                                                   | TypeScript JSX |         32 |          0 |          6 |         38 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Title/index.ts                                                                    | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalRuler/VerticalRuler.module.css                                            | CSS            |         15 |          0 |          2 |         17 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalRuler/VerticalRuler.tsx                                                   | TypeScript JSX |         27 |          0 |          5 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalRuler/index.ts                                                            | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalSpace/VerticalSpace.module.css                                            | CSS            |          2 |          0 |          1 |          3 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalSpace/VerticalSpace.tsx                                                   | TypeScript JSX |         10 |          0 |          5 |         15 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/VerticalSpace/index.ts                                                            | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Video/Video.module.css                                                            | CSS            |         11 |          0 |          2 |         13 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Video/Video.tsx                                                                   | TypeScript JSX |         14 |          0 |          5 |         19 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Video/index.ts                                                                    | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/Button/Button.module.css                                                  | CSS            |         70 |          0 |         10 |         80 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/Button/Button.tsx                                                         | TypeScript JSX |         44 |          1 |          5 |         50 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/Button/index.ts                                                           | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/EmailButton/EmailButton.module.css                                        | CSS            |         22 |          0 |          3 |         25 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/EmailButton/EmailButton.tsx                                               | TypeScript JSX |         20 |          0 |          5 |         25 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/EmailButton/index.ts                                                      | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/LoginButton/LoginButton.tsx                                               | TypeScript JSX |         17 |          0 |          5 |         22 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/buttons/LoginButton/index.ts                                                      | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/constants.ts                                                                                 | TypeScript     |         38 |          0 |          7 |         45 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/_common.ts                                                                           | TypeScript     |         18 |          4 |          4 |         26 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/about.ts                                                                             | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/content.ts                                                                           | TypeScript     |         76 |          9 |          8 |         93 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/contributors.ts                                                                      | TypeScript     |         26 |          0 |          5 |         31 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/email.ts                                                                             | TypeScript     |         22 |          0 |          7 |         29 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/hero.ts                                                                              | TypeScript     |         66 |          0 |          6 |         72 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/home.ts                                                                              | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/index.ts                                                                             | TypeScript     |         12 |          0 |          2 |         14 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/members.ts                                                                           | TypeScript     |         39 |          0 |          4 |         43 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/news.ts                                                                              | TypeScript     |         33 |          0 |          5 |         38 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/our-foundations.ts                                                                   | TypeScript     |         58 |          0 |          7 |         65 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/our-mission.ts                                                                       | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/portals.ts                                                                           | TypeScript     |         43 |          0 |          5 |         48 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/privacy-policy.ts                                                                    | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/team.ts                                                                              | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/terms-and-conditions.ts                                                              | TypeScript     |          6 |          0 |          2 |          8 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/types.ts                                                                             | TypeScript     |        153 |          0 |         19 |        172 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/content/virtualLabs.ts                                                                       | TypeScript     |         32 |          0 |          5 |         37 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconArrowRight.tsx                                                                     | TypeScript JSX |         12 |          0 |          1 |         13 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconBoxEmpty.tsx                                                                       | TypeScript JSX |         11 |          0 |          1 |         12 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconBoxFilled.tsx                                                                      | TypeScript JSX |         11 |          0 |          1 |         12 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconChevronLeft.tsx                                                                    | TypeScript JSX |         12 |          0 |          1 |         13 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconChevronRight.tsx                                                                   | TypeScript JSX |         12 |          0 |          1 |         13 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconClose.tsx                                                                          | TypeScript JSX |         11 |          0 |          1 |         12 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconDownloadFile.tsx                                                                   | TypeScript JSX |         14 |          0 |          1 |         15 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconMenu.tsx                                                                           | TypeScript JSX |          8 |          0 |          1 |          9 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/icons/IconPlus.tsx                                                                           | TypeScript JSX |         16 |          0 |          1 |         17 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/index.ts                                                                                     | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/FooterPanel.module.css                                                    | CSS            |        104 |          0 |         19 |        123 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/FooterPanel.tsx                                                           | TypeScript JSX |         72 |          5 |          7 |         84 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/NewsLetterSubscription/NewsLetterSubscription.module.css                  | CSS            |         50 |          0 |          9 |         59 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/NewsLetterSubscription/NewsLetterSubscription.tsx                         | TypeScript JSX |         61 |          0 |          7 |         68 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/NewsLetterSubscription/hook.ts                                            | TypeScript     |         11 |          1 |          2 |         14 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/NewsLetterSubscription/index.ts                                           | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/icons/iconBlueSky.tsx                                                     | TypeScript JSX |         31 |          0 |          1 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/icons/iconLinkedin.tsx                                                    | TypeScript JSX |         40 |          0 |          1 |         41 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/icons/iconTwitter.tsx                                                     | TypeScript JSX |         31 |          0 |          1 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/FooterPanel/index.ts                                                                  | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/Hero.module.css                                                                  | CSS            |         78 |          0 |         13 |         91 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/Hero.tsx                                                                         | TypeScript JSX |         66 |          1 |          6 |         73 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/NextPanel/NextPanel.module.css                                                   | CSS            |         31 |          0 |          4 |         35 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/NextPanel/NextPanel.tsx                                                          | TypeScript JSX |         29 |          3 |          6 |         38 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/NextPanel/index.ts                                                               | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Hero/index.ts                                                                         | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/HeaderLoginButton/HeaderLoginButton.module.css                                   | CSS            |         33 |          0 |          8 |         41 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/HeaderLoginButton/HeaderLoginButton.tsx                                          | TypeScript JSX |         36 |          5 |          5 |         46 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/HeaderLoginButton/index.ts                                                       | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/Menu.module.css                                                                  | CSS            |         95 |          0 |         19 |        114 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/Menu.tsx                                                                         | TypeScript JSX |         56 |          0 |          6 |         62 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/PopupMenu/PopupMenu.module.css                                                   | CSS            |         62 |          0 |          8 |         70 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/PopupMenu/PopupMenu.tsx                                                          | TypeScript JSX |         52 |          0 |          6 |         58 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/PopupMenu/index.ts                                                               | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/layout/Menu/index.ts                                                                         | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/loris.ts                                                                                     | TypeScript     |         24 |          3 |          8 |         35 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/Card/Card.module.css                                           | CSS            |         40 |          0 |          7 |         47 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/Card/Card.tsx                                                  | TypeScript JSX |         22 |          0 |          5 |         27 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/Card/index.ts                                                  | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/Cards.module.css                                               | CSS            |         13 |          0 |          2 |         15 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/Cards.tsx                                                      | TypeScript JSX |         30 |          0 |          5 |         35 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/Cards/index.ts                                                       | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/SectionContact.module.css                                            | CSS            |         11 |          0 |          2 |         13 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/SectionContact.tsx                                                   | TypeScript JSX |         25 |          2 |          5 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionContact/index.ts                                                             | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionGeneric/SectionGeneric.tsx                                                   | TypeScript JSX |         12 |          0 |          5 |         17 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionGeneric/index.ts                                                             | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/Milestones/Milestones.module.css                                   | CSS            |         46 |          0 |          9 |         55 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/Milestones/Milestones.tsx                                          | TypeScript JSX |        143 |          0 |          6 |        149 |
